epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,212.364,1.61231,3.26747,1.65865,1.27449,0,0.33119,0.11173,0.11097,0.06454,0.14664,0.01428,0.0089,0.00272,1.71864,11.2433,1.52385,1.22757,0,3.31811e-05,3.31811e-05,0.0668521
2,350.578,1.39406,2.84437,1.15888,1.15822,0,0.43346,0.14705,0.15536,0.09622,0.40235,0.12464,0.12725,0.0706,1.46232,3.2282,1.13259,1.12541,0,6.63498e-05,6.63498e-05,0.0335519
3,496.486,1.33675,2.73126,1.07517,1.1276,0,0.46705,0.15945,0.16193,0.10062,0.44525,0.14346,0.14534,0.08008,1.4082,2.85267,1.06256,1.11487,0,9.93535e-05,9.93535e-05,0.000251561
4,643.296,1.31506,2.67829,1.03667,1.11798,0,0.47784,0.17152,0.17207,0.10607,0.46049,0.15757,0.15742,0.08672,1.37325,2.78632,1.01633,1.09508,0,9.92575e-05,9.92575e-05,9.92575e-05
5,787.008,1.29164,2.62592,1.00998,1.11064,0,0.31739,0.18893,0.18345,0.11231,0.292,0.16917,0.1622,0.08791,1.35482,2.76255,1.00307,1.10272,0,9.901e-05,9.901e-05,9.901e-05
6,937.352,1.27862,2.60353,0.99114,1.10227,0,0.41975,0.1877,0.18487,0.11409,0.38118,0.17126,0.16602,0.09163,1.35446,2.74651,0.9795,1.08431,0,9.87625e-05,9.87625e-05,9.87625e-05
7,1084.9,1.26419,2.5705,0.97722,1.09519,0,0.43218,0.19154,0.19131,0.11796,0.39238,0.176,0.1711,0.09359,1.32837,2.68764,0.95435,1.0814,0,9.8515e-05,9.8515e-05,9.8515e-05
8,1233.95,1.25872,2.5595,0.97076,1.09097,0,0.43472,0.19023,0.19187,0.11895,0.39087,0.17282,0.17118,0.09438,1.33655,2.69089,0.94855,1.08273,0,9.82675e-05,9.82675e-05,9.82675e-05
9,1380.86,1.24424,2.52173,0.9517,1.08691,0,0.44142,0.19924,0.19784,0.12165,0.40459,0.17441,0.17354,0.0935,1.31962,2.65445,0.92974,1.07233,0,9.802e-05,9.802e-05,9.802e-05
10,1527.56,1.24323,2.51805,0.94621,1.08384,0,0.44491,0.19464,0.19536,0.12012,0.40108,0.17795,0.17336,0.09569,1.30969,2.65648,0.93286,1.07077,0,9.77725e-05,9.77725e-05,9.77725e-05
11,1673.96,1.23709,2.49989,0.93863,1.08274,0,0.43875,0.20016,0.19865,0.12249,0.39619,0.17655,0.17489,0.0923,1.31463,2.65118,0.92851,1.06537,0,9.7525e-05,9.7525e-05,9.7525e-05
12,1818.86,1.23142,2.49192,0.93852,1.07829,0,0.4352,0.19967,0.19781,0.12263,0.40053,0.18331,0.17722,0.09649,1.29382,2.64572,0.90309,1.06811,0,9.72775e-05,9.72775e-05,9.72775e-05
13,1965.51,1.22416,2.46676,0.92681,1.07466,0,0.43405,0.2008,0.19929,0.12281,0.3948,0.18105,0.1791,0.09711,1.30881,2.63602,0.91194,1.06971,0,9.703e-05,9.703e-05,9.703e-05
14,2110.55,1.22052,2.46665,0.92139,1.0725,0,0.4507,0.20724,0.2031,0.1243,0.40801,0.18147,0.18069,0.09866,1.30108,2.61062,0.91311,1.06715,0,9.67825e-05,9.67825e-05,9.67825e-05
15,2259.51,1.21393,2.4532,0.9147,1.07186,0,0.45674,0.20498,0.20254,0.12556,0.41598,0.18368,0.18108,0.1001,1.30943,2.62221,0.92146,1.0685,0,9.6535e-05,9.6535e-05,9.6535e-05
16,2408.07,1.21298,2.4537,0.91317,1.07137,0,0.43606,0.20381,0.20018,0.12291,0.418,0.17684,0.17939,0.09978,1.30057,2.62574,0.90169,1.06406,0,9.62875e-05,9.62875e-05,9.62875e-05
17,2554.51,1.20556,2.43712,0.90551,1.06644,0,0.46635,0.20357,0.2059,0.12699,0.42102,0.18588,0.18512,0.10128,1.28381,2.5951,0.8882,1.06171,0,9.604e-05,9.604e-05,9.604e-05
18,2700.56,1.19707,2.41788,0.90049,1.06231,0,0.43256,0.20554,0.20748,0.12802,0.39437,0.1838,0.18312,0.10023,1.30526,2.60835,0.89921,1.05769,0,9.57925e-05,9.57925e-05,9.57925e-05
19,2847.38,1.19985,2.41723,0.89535,1.06289,0,0.45846,0.20647,0.20742,0.1274,0.41332,0.18482,0.18289,0.09971,1.2887,2.60936,0.90351,1.06164,0,9.5545e-05,9.5545e-05,9.5545e-05
20,2994.24,1.19384,2.39819,0.88824,1.06124,0,0.44427,0.21124,0.20533,0.12582,0.42311,0.18526,0.18391,0.10008,1.29468,2.60285,0.8918,1.06576,0,9.52975e-05,9.52975e-05,9.52975e-05
21,3139.95,1.19497,2.40102,0.88933,1.05864,0,0.43466,0.203,0.21027,0.12798,0.36967,0.18344,0.18189,0.09806,1.2891,2.60781,0.89851,1.05686,0,9.505e-05,9.505e-05,9.505e-05
22,3285.6,1.19453,2.39765,0.88574,1.05966,0,0.47673,0.21281,0.20974,0.12823,0.42853,0.19032,0.18725,0.10232,1.26783,2.57601,0.88244,1.05753,0,9.48025e-05,9.48025e-05,9.48025e-05
23,3432.56,1.18178,2.37746,0.87631,1.05461,0,0.44325,0.22126,0.21066,0.12807,0.41905,0.19003,0.18316,0.10008,1.27451,2.5716,0.87905,1.05583,0,9.4555e-05,9.4555e-05,9.4555e-05
24,3579.05,1.18537,2.37308,0.88159,1.05605,0,0.47099,0.21059,0.21148,0.13015,0.41651,0.18908,0.18553,0.1015,1.27523,2.58138,0.8881,1.05683,0,9.43075e-05,9.43075e-05,9.43075e-05
25,3724.65,1.17916,2.3635,0.86971,1.05455,0,0.47917,0.20764,0.20605,0.128,0.42701,0.18576,0.18222,0.09834,1.27946,2.58054,0.88314,1.05068,0,9.406e-05,9.406e-05,9.406e-05
26,3871.03,1.18504,2.38342,0.87716,1.05719,0,0.43001,0.21182,0.21023,0.12978,0.39774,0.18973,0.18781,0.10101,1.27652,2.5888,0.87992,1.05759,0,9.38125e-05,9.38125e-05,9.38125e-05
27,4019.76,1.18035,2.37106,0.8685,1.05186,0,0.42942,0.21855,0.21129,0.13019,0.3892,0.19862,0.18948,0.10444,1.27656,2.58003,0.88046,1.05464,0,9.3565e-05,9.3565e-05,9.3565e-05
28,4165.82,1.17277,2.3554,0.86277,1.04973,0,0.43053,0.20848,0.20891,0.12867,0.39552,0.18646,0.18596,0.10193,1.27665,2.55707,0.88366,1.05728,0,9.33175e-05,9.33175e-05,9.33175e-05
29,4314.27,1.1777,2.35936,0.86604,1.04985,0,0.47084,0.20797,0.2099,0.12947,0.42802,0.18757,0.18623,0.10202,1.26407,2.5785,0.8673,1.05334,0,9.307e-05,9.307e-05,9.307e-05
30,4462.19,1.17041,2.34056,0.85426,1.04706,0,0.46049,0.21385,0.21208,0.1304,0.41397,0.18909,0.18544,0.09977,1.28523,2.57091,0.8743,1.05643,0,9.28225e-05,9.28225e-05,9.28225e-05
31,4612.45,1.1641,2.33678,0.85318,1.04632,0,0.45869,0.21823,0.21666,0.13304,0.41791,0.19633,0.18943,0.10384,1.274,2.55957,0.87795,1.04979,0,9.2575e-05,9.2575e-05,9.2575e-05
32,4761.35,1.16898,2.3347,0.8577,1.04774,0,0.49057,0.20986,0.21136,0.12972,0.46648,0.18983,0.19021,0.1034,1.2696,2.56328,0.87271,1.05576,0,9.23275e-05,9.23275e-05,9.23275e-05
33,4910.89,1.16775,2.34127,0.85234,1.0465,0,0.48744,0.21175,0.21381,0.13167,0.44904,0.19153,0.18902,0.10262,1.27272,2.57993,0.87362,1.05356,0,9.208e-05,9.208e-05,9.208e-05
34,5056.73,1.16255,2.32833,0.84675,1.04457,0,0.44399,0.21517,0.21361,0.13196,0.39613,0.19356,0.18749,0.10411,1.27979,2.5493,0.87418,1.05638,0,9.18325e-05,9.18325e-05,9.18325e-05
35,5204.34,1.16361,2.32411,0.84616,1.0435,0,0.38549,0.21847,0.20857,0.12954,0.36547,0.1923,0.18764,0.10316,1.28107,2.54473,0.87345,1.05287,0,9.1585e-05,9.1585e-05,9.1585e-05
36,5351.78,1.16609,2.33536,0.84757,1.04524,0,0.45134,0.21221,0.21158,0.13196,0.42975,0.19424,0.19213,0.10465,1.26464,2.55869,0.86498,1.05327,0,9.13375e-05,9.13375e-05,9.13375e-05
37,5499.86,1.15589,2.3054,0.84102,1.04077,0,0.39107,0.20823,0.21063,0.13161,0.37253,0.18929,0.19131,0.10505,1.25007,2.52952,0.85169,1.04783,0,9.109e-05,9.109e-05,9.109e-05
38,5646.71,1.15626,2.31861,0.8353,1.04048,0,0.45991,0.21306,0.21351,0.13223,0.43151,0.19592,0.19302,0.10546,1.27924,2.53908,0.86456,1.05412,0,9.08425e-05,9.08425e-05,9.08425e-05
39,5794.38,1.15517,2.31231,0.83917,1.0406,0,0.43011,0.22216,0.21941,0.13511,0.37645,0.19894,0.19163,0.10414,1.26062,2.53523,0.85817,1.04851,0,9.0595e-05,9.0595e-05,9.0595e-05
40,5939.53,1.15767,2.30313,0.8369,1.04038,0,0.44478,0.2201,0.21357,0.13233,0.43744,0.19999,0.19387,0.10408,1.26356,2.53446,0.8566,1.04912,0,9.03475e-05,9.03475e-05,9.03475e-05
41,6088.12,1.15183,2.29591,0.82898,1.03748,0,0.46095,0.21602,0.21531,0.13354,0.43584,0.19666,0.19643,0.10665,1.26256,2.52921,0.85267,1.04855,0,9.01e-05,9.01e-05,9.01e-05
42,6236.1,1.15268,2.30249,0.83093,1.03773,0,0.47648,0.21646,0.21393,0.1313,0.42452,0.19635,0.18999,0.10544,1.25723,2.52284,0.85808,1.05102,0,8.98525e-05,8.98525e-05,8.98525e-05
43,6385.13,1.14722,2.28673,0.82787,1.03586,0,0.47474,0.21902,0.21524,0.13176,0.4324,0.20007,0.19027,0.10368,1.25585,2.527,0.85818,1.04862,0,8.9605e-05,8.9605e-05,8.9605e-05
44,6531.73,1.14648,2.29483,0.82698,1.03471,0,0.44521,0.21831,0.2156,0.13324,0.42675,0.19713,0.19118,0.10383,1.25642,2.53352,0.86103,1.05326,0,8.93575e-05,8.93575e-05,8.93575e-05
45,6678.77,1.14295,2.27489,0.82251,1.03391,0,0.46147,0.21654,0.21585,0.13393,0.43925,0.1931,0.19146,0.10489,1.25066,2.52157,0.8527,1.04643,0,8.911e-05,8.911e-05,8.911e-05
